,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
10,06dec6a9-65f3-3f56-9ef1-f3b3fa9b6f2c,"Is Cisco Stock A Buy Amid Debate Over Acquisitions, Capital Returns?",Investor's Business Daily,https://finance.yahoo.com/m/06dec6a9-65f3-3f56-9ef1-f3b3fa9b6f2c/is-cisco-stock-a-buy-amid.html,1686576602,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/8ueURzXCAP5cw3Ctn1lNNA--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f9da0ee8d66bf7e235c12c60db53d512', 'width': 1000, 'height': 563, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Eu0nqzk8ACpooCyfnIMPHQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f9da0ee8d66bf7e235c12c60db53d512', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
11,59ee3fbc-abe5-3b84-bcf7-612b5d3148da,People Behind Purpose at Cisco: How a Life-Long Love for Animals Led to a Career in Sustainability,ACCESSWIRE,https://finance.yahoo.com/news/people-behind-purpose-cisco-life-133000482.html,1686576600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/YXpXqmrhWp_Y3uyBeI4wSA--~B/aD00MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/27feafa39e002c217b47b24dea0dcb23', 'width': 400, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/u3PDCR9xQvzyjnu3zHr6Fw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/accesswire.ca/27feafa39e002c217b47b24dea0dcb23', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
12,a6b00112-21d6-3137-bc5d-8ffff4baffe0,Is Zoom A Buy Amid AI Software Race In Workplace Collaboration?,Investor's Business Daily,https://finance.yahoo.com/m/a6b00112-21d6-3137-bc5d-8ffff4baffe0/is-zoom-a-buy-amid-ai.html,1686573149,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ljpYMs8.pqvpyfooz_FLpg--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/2695fa0b5354830a9e483f4d686e74a4', 'width': 1065, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/vsuisiTpFncezaGRF3NsSA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/2695fa0b5354830a9e483f4d686e74a4', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['ZM', 'CSCO']"
13,094827c6-ee62-39e0-b274-8dda30742dca,"Cisco Systems, Inc. (NASDAQ:CSCO) is largely controlled by institutional shareholders who own 75% of the company",Simply Wall St.,https://finance.yahoo.com/news/cisco-systems-inc-nasdaq-csco-120019109.html,1686571219,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/.cRVEDZ9Eus7ikZIr02FDQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/830f0f02ea9f3a021d89e3f4244202e7', 'width': 1194, 'height': 432, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/RlYRdib4Gwl1K2YKw9GtDw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/830f0f02ea9f3a021d89e3f4244202e7', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
14,d81d37d8-05fd-39dd-8b6e-d9e0c960d33c,3 High-Yield Tech Stocks to Buy in June,Motley Fool,https://finance.yahoo.com/m/d81d37d8-05fd-39dd-8b6e-d9e0c960d33c/3-high-yield-tech-stocks-to.html,1686483300,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/b2cfkB3TB3j44y3nkdzZ4Q--~B/aD0xMzY1O3c9MjE5NzthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/b534e5f0ae9246c9679ec8e477046e1a', 'width': 2197, 'height': 1365, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/w.DC5OdZamdGm9EXjn0mpw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/b534e5f0ae9246c9679ec8e477046e1a', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['QCOM', 'IBM', 'CSCO']"
15,b492bf73-3d6b-3fe6-a97e-aa5e9eb48475,Boeing Leads 5 Dow Jones Giants Near Buy Points,Investor's Business Daily,https://finance.yahoo.com/m/b492bf73-3d6b-3fe6-a97e-aa5e9eb48475/boeing-leads-5-dow-jones.html,1686398458,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/qpkId0eRTuSgMMfesKKHMg--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/3e317f842b2cd1af9c04c7454e539d68', 'width': 1065, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/b.Podr0f3whHKarBcjGdAw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/3e317f842b2cd1af9c04c7454e539d68', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['BA', 'JPM', 'CSCO', 'MCD', 'WMT']"
16,573c4318-3df4-399b-aa95-679fae06268e,Toyota Shares Gain as the Carmaker Unveils New EV Plans,Investopedia,https://finance.yahoo.com/m/573c4318-3df4-399b-aa95-679fae06268e/toyota-shares-gain-as-the.html,1686687955,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/wf0Q01VdiTifn0Oin3d62Q--~B/aD0zNzI4O3c9NTU5MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/investopedia.com/2220819037867fb34725d5c6fa07dc2a', 'width': 5591, 'height': 3728, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/IZf0IXHatIahETvTRQVTsg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/investopedia.com/2220819037867fb34725d5c6fa07dc2a', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['TM']
17,22233563-2da0-3308-9209-b8bdf89dd79c,Toyota introduced an ambitious new EV strategy,Quartz,https://finance.yahoo.com/news/toyota-introduced-ambitious-ev-strategy-173100410.html,1686677460,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/DxUYu1yjxj6.WjcxgC._WA--~B/aD00MjQ7dz02MzY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/quartz.com/d770945062ae05167d8bbdf015431374', 'width': 636, 'height': 424, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Nvm.fO25LmWBbpePpP8XwA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/quartz.com/d770945062ae05167d8bbdf015431374', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['TM']
18,f124ba04-e331-381e-98c8-c2aa38270762,Toyota Announces Its Tesla Killers,TheStreet.com,https://finance.yahoo.com/m/f124ba04-e331-381e-98c8-c2aa38270762/toyota-announces-its-tesla.html,1686672840,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/_BoOzXaqTXd4Qcw.4vLOxw--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/thestreet.com/eaabea3081052eccad8f7f0e6ac738f6', 'width': 900, 'height': 506, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/ZJTWEwvG6nVZPtOayHqB5w--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/eaabea3081052eccad8f7f0e6ac738f6', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['TM', 'TSLA']"
19,48738c1b-fc3c-3722-a1ce-4c10765e8059,Why QuantumScape Stock Jumped Today,Motley Fool,https://finance.yahoo.com/m/48738c1b-fc3c-3722-a1ce-4c10765e8059/why-quantumscape-stock-jumped.html,1686669761,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/x3zg2AAnXCJF00nGj6_IEA--~B/aD0xNDE0O3c9MjEyMTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/cdee3427f534b3e349ce6fae85fd422e', 'width': 2121, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/HNj.ovuPSvsN4j7srlFA1Q--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/cdee3427f534b3e349ce6fae85fd422e', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['QS', 'TM']"
